nohup: ignoring input
[NORMAL][2025-7-10 20:2:25][获取index单例成功][searcher.hpp : 31]
[NORMAL][2025-7-10 20:2:27][当前已经建立的索引文档数量：100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:28][当前已经建立的索引文档数量：200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:29][当前已经建立的索引文档数量：300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:29][当前已经建立的索引文档数量：400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:29][当前已经建立的索引文档数量：500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:29][当前已经建立的索引文档数量：600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:29][当前已经建立的索引文档数量：700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:30][当前已经建立的索引文档数量：800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:30][当前已经建立的索引文档数量：900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:30][当前已经建立的索引文档数量：1000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:30][当前已经建立的索引文档数量：1100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:31][当前已经建立的索引文档数量：1200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:31][当前已经建立的索引文档数量：1300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:31][当前已经建立的索引文档数量：1400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:31][当前已经建立的索引文档数量：1500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:31][当前已经建立的索引文档数量：1600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:32][当前已经建立的索引文档数量：1700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:32][当前已经建立的索引文档数量：1800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:32][当前已经建立的索引文档数量：1900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:32][当前已经建立的索引文档数量：2000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:32][当前已经建立的索引文档数量：2100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:32][当前已经建立的索引文档数量：2200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:33][当前已经建立的索引文档数量：2300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:33][当前已经建立的索引文档数量：2400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:33][当前已经建立的索引文档数量：2500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:33][当前已经建立的索引文档数量：2600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:33][当前已经建立的索引文档数量：2700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:34][当前已经建立的索引文档数量：2800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:34][当前已经建立的索引文档数量：2900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:34][当前已经建立的索引文档数量：3000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:34][当前已经建立的索引文档数量：3100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:34][当前已经建立的索引文档数量：3200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:35][当前已经建立的索引文档数量：3300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:35][当前已经建立的索引文档数量：3400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:35][当前已经建立的索引文档数量：3500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:35][当前已经建立的索引文档数量：3600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:35][当前已经建立的索引文档数量：3700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:36][当前已经建立的索引文档数量：3800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:36][当前已经建立的索引文档数量：3900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:36][当前已经建立的索引文档数量：4000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:36][当前已经建立的索引文档数量：4100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:36][当前已经建立的索引文档数量：4200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:37][当前已经建立的索引文档数量：4300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:37][当前已经建立的索引文档数量：4400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:38][当前已经建立的索引文档数量：4500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:39][当前已经建立的索引文档数量：4600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:41][当前已经建立的索引文档数量：4700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:43][当前已经建立的索引文档数量：4800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:43][当前已经建立的索引文档数量：4900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:43][当前已经建立的索引文档数量：5000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:43][当前已经建立的索引文档数量：5100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:43][当前已经建立的索引文档数量：5200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:44][当前已经建立的索引文档数量：5300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:44][当前已经建立的索引文档数量：5400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:44][当前已经建立的索引文档数量：5500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:44][当前已经建立的索引文档数量：5600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:44][当前已经建立的索引文档数量：5700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:45][当前已经建立的索引文档数量：5800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:45][当前已经建立的索引文档数量：5900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:45][当前已经建立的索引文档数量：6000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:46][当前已经建立的索引文档数量：6100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:46][当前已经建立的索引文档数量：6200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:46][当前已经建立的索引文档数量：6300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:46][当前已经建立的索引文档数量：6400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:46][当前已经建立的索引文档数量：6500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:46][当前已经建立的索引文档数量：6600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:47][当前已经建立的索引文档数量：6700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:47][当前已经建立的索引文档数量：6800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:48][当前已经建立的索引文档数量：6900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:48][当前已经建立的索引文档数量：7000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:48][当前已经建立的索引文档数量：7100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:49][当前已经建立的索引文档数量：7200][index.hpp : 102]
[NORMAL][2025-7-10 20:2:49][当前已经建立的索引文档数量：7300][index.hpp : 102]
[NORMAL][2025-7-10 20:2:49][当前已经建立的索引文档数量：7400][index.hpp : 102]
[NORMAL][2025-7-10 20:2:49][当前已经建立的索引文档数量：7500][index.hpp : 102]
[NORMAL][2025-7-10 20:2:49][当前已经建立的索引文档数量：7600][index.hpp : 102]
[NORMAL][2025-7-10 20:2:49][当前已经建立的索引文档数量：7700][index.hpp : 102]
[NORMAL][2025-7-10 20:2:51][当前已经建立的索引文档数量：7800][index.hpp : 102]
[NORMAL][2025-7-10 20:2:51][当前已经建立的索引文档数量：7900][index.hpp : 102]
[NORMAL][2025-7-10 20:2:52][当前已经建立的索引文档数量：8000][index.hpp : 102]
[NORMAL][2025-7-10 20:2:53][当前已经建立的索引文档数量：8100][index.hpp : 102]
[NORMAL][2025-7-10 20:2:54][建立正排和倒排索引成功...][searcher.hpp : 35]
[NORMAL][2025-7-10 20:4:24][用户在搜索][http_server.cpp : 29]
[NORMAL][2025-7-10 20:4:33][用户在搜索][http_server.cpp : 29]
